created_date,source,context,annotation,__index_level_0__
2024-01-01,X,일상의 소소한 순간들이 오늘따라 유난히 자신감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",30
2024-02-07,X,프로젝트가 잘 마무리되어 선명한 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",31
2024-01-03,X,일상의 소소한 순간들이 오늘따라 유난히 자랑스러움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",32
2024-02-28,Y,원하던 책을 중고로 발견해 벅찬 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",33
2024-01-11,Z,프로젝트가 잘 마무리되어 포근한 즐거움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",34
2024-03-03,Y,햇살이 따뜻해 산책하는 내내 포근한 마음이 반가움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",35
2024-02-03,X,오래 준비한 발표가 성공해서 즐거움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'M'}]",36
2024-03-03,Z,오래 준비한 발표가 성공해서 편안함을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",37
2024-01-30,Y,오래 준비한 발표가 성공해서 고마움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",38
2024-02-01,Y,일상의 소소한 순간들이 오늘따라 유난히 신명남이었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",39
2024-01-01,Z,햇살이 따뜻해 산책하는 내내 맑은 마음이 자랑스러움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",40
2024-01-21,Y,프로젝트가 잘 마무리되어 선명한 신명남이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",41
2024-03-13,X,프로젝트가 잘 마무리되어 잔잔한 안정감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",42
2024-02-06,Z,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",43
2024-01-07,Y,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",44
2024-02-04,Y,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 만족감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",45
2024-03-01,Z,프로젝트가 잘 마무리되어 포근한 만족감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",46
2024-03-10,Z,오래 준비한 발표가 성공해서 자랑스러움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'M'}]",47
2024-01-26,Y,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",48
2024-03-08,Y,프로젝트가 잘 마무리되어 선명한 고마움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'M'}]",49
2024-02-29,X,오랜만에 가족과 저녁을 먹으며 선명한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'M'}]",50
2024-03-27,X,일상의 소소한 순간들이 오늘따라 유난히 반가움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",51
2024-02-08,X,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",52
2024-03-11,Y,프로젝트가 잘 마무리되어 은은한 감동이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",53
2024-01-04,Y,일상의 소소한 순간들이 오늘따라 유난히 신뢰감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",54
2024-01-14,Y,오랜만에 가족과 저녁을 먹으며 맑은 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",55
2024-03-13,X,오랜만에 가족과 저녁을 먹으며 포근한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'F'}]",56
2024-01-13,Z,햇살이 따뜻해 산책하는 내내 벅찬 마음이 만족감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",57
2024-02-17,Z,프로젝트가 잘 마무리되어 벅찬 자신감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",58
2024-01-02,Y,프로젝트가 잘 마무리되어 은은한 자신감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'F'}]",59
2024-02-18,X,햇살이 따뜻해 산책하는 내내 선명한 마음이 공감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'M'}]",60
2024-01-22,X,일상의 소소한 순간들이 오늘따라 유난히 편안함이었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",61
2024-02-24,Y,오래 준비한 발표가 성공해서 고마움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",62
2024-01-16,Z,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",63
2024-01-12,Z,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 감동으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",64
2024-03-12,Z,프로젝트가 잘 마무리되어 포근한 즐거움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",65
2024-03-10,Y,프로젝트가 잘 마무리되어 은은한 고마움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",66
2024-03-23,X,프로젝트가 잘 마무리되어 맑은 편안함이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",67
2024-01-06,X,오래 준비한 발표가 성공해서 신명남을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",68
2024-01-18,Y,오랜만에 가족과 저녁을 먹으며 잔잔한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'M'}]",69
2024-02-10,Y,원하던 책을 중고로 발견해 은은한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",70
2024-03-16,X,프로젝트가 잘 마무리되어 선명한 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",71
2024-02-14,X,프로젝트가 잘 마무리되어 벅찬 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",72
2024-02-19,X,일상의 소소한 순간들이 오늘따라 유난히 고마움이었다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'M'}]",73
2024-01-09,X,프로젝트가 잘 마무리되어 은은한 만족감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",74
2024-02-28,X,햇살이 따뜻해 산책하는 내내 포근한 마음이 안정감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",75
2024-02-25,Y,프로젝트가 잘 마무리되어 은은한 고마움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",76
2024-03-09,Z,햇살이 따뜻해 산책하는 내내 은은한 마음이 편안함으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",77
2024-01-23,Y,오래 준비한 발표가 성공해서 즐거움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",78
2024-01-27,X,프로젝트가 잘 마무리되어 은은한 반가움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",79
2024-02-22,X,오랜만에 가족과 저녁을 먹으며 선명한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",80
2024-02-14,Y,원하던 책을 중고로 발견해 벅찬 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",81
2024-02-08,Z,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",82
2024-01-01,X,오래 준비한 발표가 성공해서 반가움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",83
2024-03-01,X,오랜만에 가족과 저녁을 먹으며 짙은 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",84
2024-02-27,Z,일상의 소소한 순간들이 오늘따라 유난히 안정감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",85
2024-02-29,Z,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",86
2024-02-09,Z,일상의 소소한 순간들이 오늘따라 유난히 공감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'M'}]",87
2024-03-04,Y,오래 준비한 발표가 성공해서 신명남을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",88
2024-03-31,Z,일상의 소소한 순간들이 오늘따라 유난히 만족감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",89
2024-03-16,Z,원하던 책을 중고로 발견해 맑은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",90
2024-02-15,X,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",91
2024-03-04,X,일상의 소소한 순간들이 오늘따라 유난히 자신감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'F'}]",92
2024-02-11,Z,오래 준비한 발표가 성공해서 고마움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",93
2024-01-22,Z,일상의 소소한 순간들이 오늘따라 유난히 안정감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'F'}]",94
2024-02-24,Y,오래 준비한 발표가 성공해서 안정감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",95
2024-03-14,Y,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",96
2024-01-10,Z,햇살이 따뜻해 산책하는 내내 짙은 마음이 공감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'F'}]",97
2024-02-11,Y,오래 준비한 발표가 성공해서 감동을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",98
2024-02-02,X,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'M'}]",99
2024-01-15,X,일상의 소소한 순간들이 오늘따라 유난히 만족감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",100
2024-01-25,X,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",101
2024-02-08,Z,오랜만에 가족과 저녁을 먹으며 선명한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",102
2024-02-08,Y,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",103
2024-03-15,Y,햇살이 따뜻해 산책하는 내내 맑은 마음이 고마움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",104
2024-03-22,X,원하던 책을 중고로 발견해 벅찬 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'F'}]",105
2024-02-19,Y,햇살이 따뜻해 산책하는 내내 맑은 마음이 반가움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",106
2024-01-17,Y,오랜만에 가족과 저녁을 먹으며 벅찬 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'M'}]",107
2024-02-24,X,프로젝트가 잘 마무리되어 선명한 즐거움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'F'}]",108
2024-01-28,Z,원하던 책을 중고로 발견해 은은한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",109
2024-03-16,Y,햇살이 따뜻해 산책하는 내내 맑은 마음이 즐거움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'M'}]",110
2024-01-29,Z,일상의 소소한 순간들이 오늘따라 유난히 만족감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",111
2024-02-09,Z,원하던 책을 중고로 발견해 잔잔한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",112
2024-03-16,Z,햇살이 따뜻해 산책하는 내내 은은한 마음이 편안함으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",113
2024-03-21,X,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 만족감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'M'}]",114
2024-03-31,Y,일상의 소소한 순간들이 오늘따라 유난히 편안함이었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",115
2024-02-14,X,일상의 소소한 순간들이 오늘따라 유난히 편안함이었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",116
2024-03-10,Y,원하던 책을 중고로 발견해 맑은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",117
2024-03-08,Z,오래 준비한 발표가 성공해서 신명남을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'F'}]",118
2024-02-05,X,햇살이 따뜻해 산책하는 내내 벅찬 마음이 자랑스러움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",119
2024-02-20,Z,햇살이 따뜻해 산책하는 내내 포근한 마음이 안정감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",120
2024-03-04,X,오래 준비한 발표가 성공해서 고마움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'M'}]",121
2024-03-26,Z,일상의 소소한 순간들이 오늘따라 유난히 편안함이었다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",122
2024-01-13,Y,일상의 소소한 순간들이 오늘따라 유난히 만족감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",123
2024-02-23,Y,오래 준비한 발표가 성공해서 자랑스러움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",124
2024-01-24,Z,원하던 책을 중고로 발견해 벅찬 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",125
2024-02-19,X,오래 준비한 발표가 성공해서 반가움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'F'}]",126
2024-01-23,Z,원하던 책을 중고로 발견해 포근한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",127
2024-03-12,X,햇살이 따뜻해 산책하는 내내 짙은 마음이 자신감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'F'}]",128
2024-02-13,X,오래 준비한 발표가 성공해서 고마움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_고마움', 'gender': 'F'}]",129
2024-02-24,Z,일상의 소소한 순간들이 오늘따라 유난히 신명남이었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",130
2024-03-08,X,프로젝트가 잘 마무리되어 선명한 자신감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",131
2024-02-18,Y,프로젝트가 잘 마무리되어 포근한 자랑스러움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'F'}]",132
2024-03-29,X,오래 준비한 발표가 성공해서 신뢰감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",133
2024-01-25,X,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_자랑스러움', 'gender': 'M'}]",134
2024-01-24,Z,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 자신감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",135
2024-01-03,Z,프로젝트가 잘 마무리되어 은은한 만족감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",136
2024-02-20,Z,오랜만에 가족과 저녁을 먹으며 잔잔한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",137
2024-03-15,Y,일상의 소소한 순간들이 오늘따라 유난히 자신감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'F'}]",138
2024-02-06,X,햇살이 따뜻해 산책하는 내내 포근한 마음이 즐거움으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_즐거움', 'gender': 'M'}]",139
2024-03-24,Z,프로젝트가 잘 마무리되어 벅찬 반가움이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",140
2024-02-13,Y,원하던 책을 중고로 발견해 맑은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",141
2024-03-25,X,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 자신감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",142
2024-03-09,Y,프로젝트가 잘 마무리되어 짙은 감동이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",143
2024-02-03,Z,오래 준비한 발표가 성공해서 공감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'F'}]",144
2024-02-26,Y,오래 준비한 발표가 성공해서 만족감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_만족감', 'gender': 'F'}]",145
2024-01-28,Z,프로젝트가 잘 마무리되어 잔잔한 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",146
2024-03-07,X,오랜만에 가족과 저녁을 먹으며 벅찬 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'M'}]",147
2024-03-17,X,프로젝트가 잘 마무리되어 짙은 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",148
2024-01-17,Y,오랜만에 가족과 저녁을 먹으며 포근한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_편안함', 'gender': 'F'}]",149
2024-02-07,Z,프로젝트가 잘 마무리되어 잔잔한 감동이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",150
2024-02-19,X,일상의 소소한 순간들이 오늘따라 유난히 자신감이었다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",151
2024-01-21,Z,원하던 책을 중고로 발견해 짙은 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",152
2024-02-22,Z,오래 준비한 발표가 성공해서 반가움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",153
2024-03-09,X,오래 준비한 발표가 성공해서 자신감을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",154
2024-03-30,Z,원하던 책을 중고로 발견해 잔잔한 기분이 들떴다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'M'}]",155
2024-01-10,Y,오랜만에 가족과 저녁을 먹으며 벅찬 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_공감', 'gender': 'F'}]",156
2024-02-10,X,프로젝트가 잘 마무리되어 은은한 신뢰감이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'M'}]",157
2024-01-21,X,오랜만에 가족과 저녁을 먹으며 잔잔한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_안정감', 'gender': 'M'}]",158
2024-02-11,X,오래 준비한 발표가 성공해서 반가움을 느꼈다.,"[{'annotator': 'A', 'emotion': '기쁨_반가움', 'gender': 'M'}]",159
2024-02-17,Z,프로젝트가 잘 마무리되어 선명한 신명남이 들었다.,"[{'annotator': 'A', 'emotion': '기쁨_신명남', 'gender': 'M'}]",160
2024-02-29,Z,햇살이 따뜻해 산책하는 내내 벅찬 마음이 자신감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_자신감', 'gender': 'M'}]",161
2024-01-06,Z,오랜만에 가족과 저녁을 먹으며 은은한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'M'}]",162
2024-03-13,Z,오랜만에 가족과 저녁을 먹으며 잔잔한 행복이 가득했다.,"[{'annotator': 'A', 'emotion': '기쁨_감동', 'gender': 'F'}]",163
2024-01-26,Y,햇살이 따뜻해 산책하는 내내 잔잔한 마음이 신뢰감으로 가라앉았다.,"[{'annotator': 'A', 'emotion': '기쁨_신뢰감', 'gender': 'F'}]",164
